Trace1,
Freq,,Amp,,
             8000000,Hz,              -72.59, dBm,
             8053333,Hz,              -72.36, dBm,
             8106666,Hz,              -72.38, dBm,
             8159999,Hz,              -72.30, dBm,
             8213332,Hz,              -72.61, dBm,
             8266665,Hz,              -73.06, dBm,
             8319998,Hz,              -72.95, dBm,
             8373331,Hz,              -73.30, dBm,
             8426664,Hz,              -73.56, dBm,
             8479997,Hz,              -73.17, dBm,
             8533330,Hz,              -72.98, dBm,
             8586663,Hz,              -73.38, dBm,
             8639996,Hz,              -73.01, dBm,
             8693329,Hz,              -73.17, dBm,
             8746662,Hz,              -73.34, dBm,
             8799995,Hz,              -73.30, dBm,
             8853328,Hz,              -73.40, dBm,
             8906661,Hz,              -73.47, dBm,
             8959994,Hz,              -73.41, dBm,
             9013327,Hz,              -73.22, dBm,
             9066660,Hz,              -72.95, dBm,
             9119993,Hz,              -72.75, dBm,
             9173326,Hz,              -72.83, dBm,
             9226659,Hz,              -73.14, dBm,
             9279992,Hz,              -73.20, dBm,
             9333325,Hz,              -73.17, dBm,
             9386658,Hz,              -73.02, dBm,
             9439991,Hz,              -73.02, dBm,
             9493324,Hz,              -73.13, dBm,
             9546657,Hz,              -73.25, dBm,
             9599990,Hz,              -73.10, dBm,
             9653323,Hz,              -73.03, dBm,
             9706656,Hz,              -72.74, dBm,
             9759989,Hz,              -72.98, dBm,
             9813322,Hz,              -73.10, dBm,
             9866655,Hz,              -72.88, dBm,
             9919988,Hz,              -72.78, dBm,
             9973321,Hz,              -72.70, dBm,
            10026654,Hz,              -72.88, dBm,
            10079987,Hz,              -73.12, dBm,
            10133320,Hz,              -73.20, dBm,
            10186653,Hz,              -73.32, dBm,
            10239986,Hz,              -72.86, dBm,
            10293319,Hz,              -73.13, dBm,
            10346652,Hz,              -73.26, dBm,
            10399985,Hz,              -72.84, dBm,
            10453318,Hz,              -72.88, dBm,
            10506651,Hz,              -72.66, dBm,
            10559984,Hz,              -73.00, dBm,
            10613317,Hz,              -73.07, dBm,
            10666650,Hz,              -72.83, dBm,
            10719983,Hz,              -72.45, dBm,
            10773316,Hz,              -72.54, dBm,
            10826649,Hz,              -72.64, dBm,
            10879982,Hz,              -72.76, dBm,
            10933315,Hz,              -72.84, dBm,
            10986648,Hz,              -72.67, dBm,
            11039981,Hz,              -72.70, dBm,
            11093314,Hz,              -72.88, dBm,
            11146647,Hz,              -72.71, dBm,
            11199980,Hz,              -73.11, dBm,
            11253313,Hz,              -73.42, dBm,
            11306646,Hz,              -73.51, dBm,
            11359979,Hz,              -73.44, dBm,
            11413312,Hz,              -73.32, dBm,
            11466645,Hz,              -73.33, dBm,
            11519978,Hz,              -73.50, dBm,
            11573311,Hz,              -73.77, dBm,
            11626644,Hz,              -74.18, dBm,
            11679977,Hz,              -74.15, dBm,
            11733310,Hz,              -74.10, dBm,
            11786643,Hz,              -74.32, dBm,
            11839976,Hz,              -74.32, dBm,
            11893309,Hz,              -74.25, dBm,
            11946642,Hz,              -74.03, dBm,
            11999975,Hz,              -73.85, dBm,
            12053308,Hz,              -74.12, dBm,
            12106641,Hz,              -74.67, dBm,
            12159974,Hz,              -74.57, dBm,
            12213307,Hz,              -74.45, dBm,
            12266640,Hz,              -74.27, dBm,
            12319973,Hz,              -74.38, dBm,
            12373306,Hz,              -74.51, dBm,
            12426639,Hz,              -74.38, dBm,
            12479972,Hz,              -74.34, dBm,
            12533305,Hz,              -74.34, dBm,
            12586638,Hz,              -74.27, dBm,
            12639971,Hz,              -74.44, dBm,
            12693304,Hz,              -74.46, dBm,
            12746637,Hz,              -74.63, dBm,
            12799970,Hz,              -74.93, dBm,
            12853303,Hz,              -74.79, dBm,
            12906636,Hz,              -74.51, dBm,
            12959969,Hz,              -74.55, dBm,
            13013302,Hz,              -74.46, dBm,
            13066635,Hz,              -74.60, dBm,
            13119968,Hz,              -74.83, dBm,
            13173301,Hz,              -74.89, dBm,
            13226634,Hz,              -74.50, dBm,
            13279967,Hz,              -74.23, dBm,
            13333300,Hz,              -74.50, dBm,
            13386633,Hz,              -74.69, dBm,
            13439966,Hz,              -74.56, dBm,
            13493299,Hz,              -74.43, dBm,
            13546632,Hz,              -74.63, dBm,
            13599965,Hz,              -74.94, dBm,
            13653298,Hz,              -74.97, dBm,
            13706631,Hz,              -74.90, dBm,
            13759964,Hz,              -74.74, dBm,
            13813297,Hz,              -74.68, dBm,
            13866630,Hz,              -74.77, dBm,
            13919963,Hz,              -74.92, dBm,
            13973296,Hz,              -74.68, dBm,
            14026629,Hz,              -74.39, dBm,
            14079962,Hz,              -74.41, dBm,
            14133295,Hz,              -75.15, dBm,
            14186628,Hz,              -74.91, dBm,
            14239961,Hz,              -74.66, dBm,
            14293294,Hz,              -74.81, dBm,
            14346627,Hz,              -74.92, dBm,
            14399960,Hz,              -74.80, dBm,
