Trace1,
Freq,,Amp,,
            13984894,Hz,              -73.55, dBm,
            14066560,Hz,              -73.55, dBm,
            14148226,Hz,              -74.44, dBm,
            14229892,Hz,              -74.11, dBm,
            14311558,Hz,              -74.36, dBm,
            14393224,Hz,              -74.56, dBm,
            14474890,Hz,              -74.31, dBm,
            14556556,Hz,              -74.47, dBm,
            14638222,Hz,              -75.07, dBm,
            14719888,Hz,              -74.91, dBm,
            14801554,Hz,              -74.90, dBm,
            14883220,Hz,              -74.73, dBm,
            14964886,Hz,              -74.67, dBm,
            15046552,Hz,              -74.92, dBm,
            15128218,Hz,              -74.62, dBm,
            15209884,Hz,              -74.75, dBm,
            15291550,Hz,              -74.85, dBm,
            15373216,Hz,              -75.03, dBm,
            15454882,Hz,              -74.71, dBm,
            15536548,Hz,              -74.94, dBm,
            15618214,Hz,              -74.76, dBm,
            15699880,Hz,              -74.77, dBm,
            15781546,Hz,              -74.80, dBm,
            15863212,Hz,              -75.08, dBm,
            15944878,Hz,              -74.83, dBm,
            16026544,Hz,              -74.77, dBm,
            16108210,Hz,              -75.10, dBm,
            16189876,Hz,              -74.78, dBm,
            16271542,Hz,              -74.99, dBm,
            16353208,Hz,              -75.30, dBm,
            16434874,Hz,              -74.98, dBm,
            16516540,Hz,              -75.11, dBm,
            16598206,Hz,              -75.23, dBm,
            16679872,Hz,              -74.54, dBm,
            16761538,Hz,              -75.22, dBm,
            16843204,Hz,              -75.30, dBm,
            16924870,Hz,              -75.02, dBm,
            17006536,Hz,              -75.28, dBm,
            17088202,Hz,              -75.15, dBm,
            17169868,Hz,              -74.87, dBm,
            17251534,Hz,              -75.20, dBm,
            17333200,Hz,              -75.40, dBm,
            17414866,Hz,              -75.33, dBm,
            17496532,Hz,              -75.34, dBm,
            17578198,Hz,              -74.96, dBm,
            17659864,Hz,              -75.32, dBm,
            17741530,Hz,              -75.19, dBm,
            17823196,Hz,              -75.28, dBm,
            17904862,Hz,              -75.22, dBm,
            17986528,Hz,              -75.50, dBm,
            18068194,Hz,              -75.14, dBm,
            18149860,Hz,              -75.30, dBm,
            18231526,Hz,              -75.41, dBm,
            18313192,Hz,              -75.31, dBm,
            18394858,Hz,              -75.07, dBm,
            18476524,Hz,              -75.34, dBm,
            18558190,Hz,              -75.43, dBm,
            18639856,Hz,              -74.96, dBm,
            18721522,Hz,              -75.17, dBm,
            18803188,Hz,              -75.70, dBm,
            18884854,Hz,              -75.50, dBm,
            18966520,Hz,              -75.64, dBm,
            19048186,Hz,              -75.43, dBm,
            19129852,Hz,              -75.43, dBm,
            19211518,Hz,              -75.66, dBm,
            19293184,Hz,              -75.51, dBm,
            19374850,Hz,              -75.40, dBm,
            19456516,Hz,              -75.40, dBm,
            19538182,Hz,              -75.19, dBm,
            19619848,Hz,              -75.44, dBm,
            19701514,Hz,              -75.55, dBm,
            19783180,Hz,              -75.55, dBm,
            19864846,Hz,              -75.59, dBm,
            19946512,Hz,              -75.42, dBm,
            20028178,Hz,              -75.36, dBm,
            20109844,Hz,              -75.26, dBm,
            20191510,Hz,              -75.22, dBm,
            20273176,Hz,              -75.53, dBm,
            20354842,Hz,              -75.26, dBm,
            20436508,Hz,              -75.53, dBm,
            20518174,Hz,              -74.77, dBm,
            20599840,Hz,              -75.22, dBm,
            20681506,Hz,              -75.65, dBm,
            20763172,Hz,              -75.47, dBm,
            20844838,Hz,              -75.88, dBm,
            20926504,Hz,              -75.41, dBm,
            21008170,Hz,              -75.43, dBm,
            21089836,Hz,              -75.31, dBm,
            21171502,Hz,              -75.41, dBm,
            21253168,Hz,              -75.43, dBm,
            21334834,Hz,              -75.27, dBm,
            21416500,Hz,              -75.50, dBm,
            21498166,Hz,              -75.30, dBm,
            21579832,Hz,              -75.13, dBm,
            21661498,Hz,              -75.28, dBm,
            21743164,Hz,              -75.38, dBm,
            21824830,Hz,              -75.20, dBm,
            21906496,Hz,              -75.23, dBm,
            21988162,Hz,              -75.70, dBm,
            22069828,Hz,              -75.46, dBm,
            22151494,Hz,              -76.01, dBm,
            22233160,Hz,              -75.53, dBm,
            22314826,Hz,              -75.63, dBm,
            22396492,Hz,              -75.56, dBm,
            22478158,Hz,              -75.37, dBm,
            22559824,Hz,              -75.48, dBm,
            22641490,Hz,              -75.86, dBm,
            22723156,Hz,              -75.38, dBm,
            22804822,Hz,              -75.37, dBm,
            22886488,Hz,              -75.93, dBm,
            22968154,Hz,              -75.84, dBm,
            23049820,Hz,              -75.09, dBm,
            23131486,Hz,              -75.41, dBm,
            23213152,Hz,              -75.64, dBm,
            23294818,Hz,              -75.52, dBm,
            23376484,Hz,              -75.40, dBm,
            23458150,Hz,              -75.21, dBm,
            23539816,Hz,              -75.18, dBm,
            23621482,Hz,              -74.99, dBm,
            23703148,Hz,              -75.19, dBm,
            23784814,Hz,              -74.57, dBm,
            23866480,Hz,              -74.23, dBm,
            23948146,Hz,              -73.80, dBm,
            24029812,Hz,              -74.77, dBm,
            24111478,Hz,              -74.80, dBm,
            24193144,Hz,              -74.44, dBm,
            24274810,Hz,              -74.09, dBm,
            24356476,Hz,              -74.42, dBm,
            24438142,Hz,              -73.94, dBm,
            24519808,Hz,              -73.23, dBm,
            24601474,Hz,              -72.88, dBm,
            24683140,Hz,              -72.95, dBm,
            24764806,Hz,              -72.61, dBm,
            24846472,Hz,              -72.53, dBm,
            24928138,Hz,              -72.36, dBm,
            25009804,Hz,              -71.84, dBm,
            25091470,Hz,              -71.90, dBm,
            25173136,Hz,              -71.78, dBm,
            25254802,Hz,              -71.80, dBm,
            25336468,Hz,              -71.66, dBm,
            25418134,Hz,              -71.95, dBm,
            25499800,Hz,              -71.74, dBm,
            25581466,Hz,              -72.90, dBm,
            25663132,Hz,              -72.57, dBm,
            25744798,Hz,              -72.85, dBm,
            25826464,Hz,              -74.20, dBm,
            25908130,Hz,              -74.30, dBm,
            25989796,Hz,              -74.35, dBm,
            26071462,Hz,              -73.10, dBm,
            26153128,Hz,              -73.96, dBm,
            26234794,Hz,              -73.46, dBm,
            26316460,Hz,              -74.66, dBm,
            26398126,Hz,              -73.53, dBm,
            26479792,Hz,              -74.16, dBm,
            26561458,Hz,              -74.34, dBm,
            26643124,Hz,              -74.05, dBm,
            26724790,Hz,              -74.33, dBm,
            26806456,Hz,              -73.76, dBm,
            26888122,Hz,              -74.00, dBm,
            26969788,Hz,              -73.03, dBm,
            27051454,Hz,              -74.24, dBm,
            27133120,Hz,              -74.50, dBm,
            27214786,Hz,              -74.59, dBm,
            27296452,Hz,              -75.05, dBm,
            27378118,Hz,              -75.24, dBm,
            27459784,Hz,              -74.98, dBm,
            27541450,Hz,              -74.44, dBm,
            27623116,Hz,              -74.18, dBm,
            27704782,Hz,              -74.26, dBm,
            27786448,Hz,              -74.79, dBm,
            27868114,Hz,              -74.44, dBm,
            27949780,Hz,              -75.28, dBm,
            28031446,Hz,              -75.40, dBm,
            28113112,Hz,              -75.31, dBm,
            28194778,Hz,              -75.11, dBm,
            28276444,Hz,              -74.90, dBm,
            28358110,Hz,              -74.78, dBm,
            28439776,Hz,              -74.74, dBm,
            28521442,Hz,              -75.07, dBm,
            28603108,Hz,              -75.19, dBm,
            28684774,Hz,              -75.52, dBm,
            28766440,Hz,              -75.41, dBm,
            28848106,Hz,              -76.27, dBm,
            28929772,Hz,              -75.62, dBm,
            29011438,Hz,              -75.65, dBm,
            29093104,Hz,              -75.19, dBm,
            29174770,Hz,              -75.17, dBm,
            29256436,Hz,              -75.01, dBm,
            29338102,Hz,              -76.21, dBm,
            29419768,Hz,              -75.91, dBm,
            29501434,Hz,              -75.45, dBm,
            29583100,Hz,              -76.21, dBm,
            29664766,Hz,              -75.91, dBm,
            29746432,Hz,              -75.76, dBm,
            29828098,Hz,              -75.62, dBm,
            29909764,Hz,              -76.27, dBm,
            29991430,Hz,              -75.64, dBm,
            30073096,Hz,              -76.23, dBm,
            30154762,Hz,              -76.02, dBm,
            30236428,Hz,              -75.94, dBm,
            30318094,Hz,              -76.91, dBm,
            30399760,Hz,              -76.55, dBm,
            30481426,Hz,              -76.29, dBm,
            30563092,Hz,              -76.36, dBm,
            30644758,Hz,              -76.46, dBm,
            30726424,Hz,              -76.25, dBm,
            30808090,Hz,              -76.84, dBm,
            30889756,Hz,              -76.27, dBm,
            30971422,Hz,              -76.30, dBm,
            31053088,Hz,              -76.83, dBm,
            31134754,Hz,              -76.47, dBm,
            31216420,Hz,              -76.75, dBm,
            31298086,Hz,              -76.37, dBm,
            31379752,Hz,              -76.63, dBm,
            31461418,Hz,              -76.36, dBm,
            31543084,Hz,              -76.41, dBm,
            31624750,Hz,              -76.68, dBm,
            31706416,Hz,              -76.58, dBm,
            31788082,Hz,              -76.45, dBm,
            31869748,Hz,              -76.43, dBm,
            31951414,Hz,              -76.53, dBm,
            32033080,Hz,              -76.86, dBm,
