Trace1,
Freq,,Amp,,
            53734894,Hz,              -76.37, dBm,
            54066560,Hz,              -76.58, dBm,
            54398226,Hz,              -76.15, dBm,
            54729892,Hz,              -76.65, dBm,
            55061558,Hz,              -75.86, dBm,
            55393224,Hz,              -76.10, dBm,
            55724890,Hz,              -76.22, dBm,
            56056556,Hz,              -76.90, dBm,
            56388222,Hz,              -76.44, dBm,
            56719888,Hz,              -76.71, dBm,
            57051554,Hz,              -76.89, dBm,
            57383220,Hz,              -76.97, dBm,
            57714886,Hz,              -77.01, dBm,
            58046552,Hz,              -77.08, dBm,
            58378218,Hz,              -77.11, dBm,
            58709884,Hz,              -76.43, dBm,
            59041550,Hz,              -76.75, dBm,
            59373216,Hz,              -76.79, dBm,
            59704882,Hz,              -76.78, dBm,
            60036548,Hz,              -76.78, dBm,
            60368214,Hz,              -76.81, dBm,
            60699880,Hz,              -76.87, dBm,
            61031546,Hz,              -76.62, dBm,
            61363212,Hz,              -76.56, dBm,
            61694878,Hz,              -76.19, dBm,
            62026544,Hz,              -76.12, dBm,
            62358210,Hz,              -76.17, dBm,
            62689876,Hz,              -76.24, dBm,
            63021542,Hz,              -75.82, dBm,
            63353208,Hz,              -76.07, dBm,
            63684874,Hz,              -76.13, dBm,
            64016540,Hz,              -76.02, dBm,
            64348206,Hz,              -75.89, dBm,
            64679872,Hz,              -75.89, dBm,
            65011538,Hz,              -76.02, dBm,
            65343204,Hz,              -75.99, dBm,
            65674870,Hz,              -75.86, dBm,
            66006536,Hz,              -76.15, dBm,
            66338202,Hz,              -76.32, dBm,
            66669868,Hz,              -76.12, dBm,
            67001534,Hz,              -76.40, dBm,
            67333200,Hz,              -75.70, dBm,
            67664866,Hz,              -75.96, dBm,
            67996532,Hz,              -76.03, dBm,
            68328198,Hz,              -75.34, dBm,
            68659864,Hz,              -75.59, dBm,
            68991530,Hz,              -76.43, dBm,
            69323196,Hz,              -76.12, dBm,
            69654862,Hz,              -75.94, dBm,
            69986528,Hz,              -75.26, dBm,
            70318194,Hz,              -73.50, dBm,
            70649860,Hz,              -72.08, dBm,
            70981526,Hz,              -72.23, dBm,
            71313192,Hz,              -74.11, dBm,
            71644858,Hz,              -74.97, dBm,
            71976524,Hz,              -75.05, dBm,
            72308190,Hz,              -75.36, dBm,
            72639856,Hz,              -75.18, dBm,
            72971522,Hz,              -75.41, dBm,
            73303188,Hz,              -73.92, dBm,
            73634854,Hz,              -73.83, dBm,
            73966520,Hz,              -73.90, dBm,
            74298186,Hz,              -73.33, dBm,
            74629852,Hz,              -69.14, dBm,
            74961518,Hz,              -65.84, dBm,
            75293184,Hz,              -64.57, dBm,
            75624850,Hz,              -65.58, dBm,
            75956516,Hz,              -68.47, dBm,
            76288182,Hz,              -71.60, dBm,
            76619848,Hz,              -71.56, dBm,
            76951514,Hz,              -70.60, dBm,
            77283180,Hz,              -71.51, dBm,
            77614846,Hz,              -71.72, dBm,
            77946512,Hz,              -71.56, dBm,
            78278178,Hz,              -72.37, dBm,
            78609844,Hz,              -71.80, dBm,
            78941510,Hz,              -72.77, dBm,
            79273176,Hz,              -71.30, dBm,
            79604842,Hz,              -71.74, dBm,
            79936508,Hz,              -71.94, dBm,
            80268174,Hz,              -72.26, dBm,
            80599840,Hz,              -72.44, dBm,
            80931506,Hz,              -72.02, dBm,
            81263172,Hz,              -72.22, dBm,
            81594838,Hz,              -73.93, dBm,
            81926504,Hz,              -74.49, dBm,
            82258170,Hz,              -74.13, dBm,
            82589836,Hz,              -74.67, dBm,
            82921502,Hz,              -75.37, dBm,
            83253168,Hz,              -75.11, dBm,
            83584834,Hz,              -75.46, dBm,
            83916500,Hz,              -74.82, dBm,
            84248166,Hz,              -75.77, dBm,
            84579832,Hz,              -75.45, dBm,
            84911498,Hz,              -75.77, dBm,
            85243164,Hz,              -75.33, dBm,
            85574830,Hz,              -75.47, dBm,
            85906496,Hz,              -75.39, dBm,
            86238162,Hz,              -75.73, dBm,
            86569828,Hz,              -75.91, dBm,
            86901494,Hz,              -76.03, dBm,
            87233160,Hz,              -75.99, dBm,
            87564826,Hz,              -75.93, dBm,
            87896492,Hz,              -75.67, dBm,
            88228158,Hz,              -76.08, dBm,
            88559824,Hz,              -75.86, dBm,
            88891490,Hz,              -75.42, dBm,
            89223156,Hz,              -74.41, dBm,
            89554822,Hz,              -67.26, dBm,
            89886488,Hz,              -59.52, dBm,
            90218154,Hz,              -56.43, dBm,
            90549820,Hz,              -56.07, dBm,
            90881486,Hz,              -57.78, dBm,
            91213152,Hz,              -61.93, dBm,
            91544818,Hz,              -64.34, dBm,
            91876484,Hz,              -60.46, dBm,
            92208150,Hz,              -54.07, dBm,
            92539816,Hz,              -51.63, dBm,
            92871482,Hz,              -51.55, dBm,
            93203148,Hz,              -54.32, dBm,
            93534814,Hz,              -58.42, dBm,
            93866480,Hz,              -58.08, dBm,
            94198146,Hz,              -56.04, dBm,
            94529812,Hz,              -56.23, dBm,
            94861478,Hz,              -57.88, dBm,
            95193144,Hz,              -57.45, dBm,
            95524810,Hz,              -51.50, dBm,
            95856476,Hz,              -49.05, dBm,
            96188142,Hz,              -49.02, dBm,
            96519808,Hz,              -51.97, dBm,
            96851474,Hz,              -58.64, dBm,
            97183140,Hz,              -63.26, dBm,
            97514806,Hz,              -60.51, dBm,
            97846472,Hz,              -60.19, dBm,
            98178138,Hz,              -59.07, dBm,
            98509804,Hz,              -52.48, dBm,
            98841470,Hz,              -48.07, dBm,
            99173136,Hz,              -46.47, dBm,
            99504802,Hz,              -47.17, dBm,
            99836468,Hz,              -49.10, dBm,
           100168134,Hz,              -49.13, dBm,
           100499800,Hz,              -47.04, dBm,
           100831466,Hz,              -46.89, dBm,
           101163132,Hz,              -48.41, dBm,
           101494798,Hz,              -53.47, dBm,
           101826464,Hz,              -64.79, dBm,
           102158130,Hz,              -68.87, dBm,
           102489796,Hz,              -62.54, dBm,
           102821462,Hz,              -57.70, dBm,
           103153128,Hz,              -56.18, dBm,
           103484794,Hz,              -56.96, dBm,
           103816460,Hz,              -61.01, dBm,
           104148126,Hz,              -67.06, dBm,
           104479792,Hz,              -69.51, dBm,
           104811458,Hz,              -68.27, dBm,
           105143124,Hz,              -60.96, dBm,
           105474790,Hz,              -55.93, dBm,
           105806456,Hz,              -54.67, dBm,
           106138122,Hz,              -55.70, dBm,
           106469788,Hz,              -60.69, dBm,
           106801454,Hz,              -71.55, dBm,
           107133120,Hz,              -76.47, dBm,
           107464786,Hz,              -76.68, dBm,
           107796452,Hz,              -76.83, dBm,
           108128118,Hz,              -76.66, dBm,
           108459784,Hz,              -76.59, dBm,
           108791450,Hz,              -76.76, dBm,
           109123116,Hz,              -76.40, dBm,
           109454782,Hz,              -76.55, dBm,
           109786448,Hz,              -76.69, dBm,
           110118114,Hz,              -76.67, dBm,
           110449780,Hz,              -76.67, dBm,
           110781446,Hz,              -76.54, dBm,
           111113112,Hz,              -76.60, dBm,
           111444778,Hz,              -76.57, dBm,
           111776444,Hz,              -76.52, dBm,
           112108110,Hz,              -76.21, dBm,
           112439776,Hz,              -76.23, dBm,
           112771442,Hz,              -76.33, dBm,
           113103108,Hz,              -75.54, dBm,
           113434774,Hz,              -76.11, dBm,
           113766440,Hz,              -76.12, dBm,
           114098106,Hz,              -75.80, dBm,
           114429772,Hz,              -75.70, dBm,
           114761438,Hz,              -75.29, dBm,
           115093104,Hz,              -75.81, dBm,
           115424770,Hz,              -75.89, dBm,
           115756436,Hz,              -76.25, dBm,
           116088102,Hz,              -75.87, dBm,
           116419768,Hz,              -76.38, dBm,
           116751434,Hz,              -76.47, dBm,
           117083100,Hz,              -76.23, dBm,
           117414766,Hz,              -76.22, dBm,
           117746432,Hz,              -76.54, dBm,
           118078098,Hz,              -76.49, dBm,
           118409764,Hz,              -76.62, dBm,
           118741430,Hz,              -76.77, dBm,
           119073096,Hz,              -76.60, dBm,
           119404762,Hz,              -76.62, dBm,
           119736428,Hz,              -76.62, dBm,
           120068094,Hz,              -76.66, dBm,
           120399760,Hz,              -76.49, dBm,
           120731426,Hz,              -75.78, dBm,
           121063092,Hz,              -75.94, dBm,
           121394758,Hz,              -75.86, dBm,
           121726424,Hz,              -76.31, dBm,
           122058090,Hz,              -75.85, dBm,
           122389756,Hz,              -76.17, dBm,
           122721422,Hz,              -76.16, dBm,
           123053088,Hz,              -76.57, dBm,
           123384754,Hz,              -76.17, dBm,
           123716420,Hz,              -76.31, dBm,
           124048086,Hz,              -75.66, dBm,
           124379752,Hz,              -75.63, dBm,
           124711418,Hz,              -75.53, dBm,
           125043084,Hz,              -75.07, dBm,
           125374750,Hz,              -74.99, dBm,
           125706416,Hz,              -75.24, dBm,
           126038082,Hz,              -75.87, dBm,
           126369748,Hz,              -76.34, dBm,
           126701414,Hz,              -76.60, dBm,
           127033080,Hz,              -76.42, dBm,
           127364746,Hz,              -76.77, dBm,
           127696412,Hz,              -74.99, dBm,
           128028078,Hz,              -71.61, dBm,
           128359744,Hz,              -70.47, dBm,
